Feature,Importance,Variance
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.16543,7.77847741012688e-05
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_contrast,0.08168,0.0008912278404566634
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_std,0.06328,5.400790411123189e-06
RockUnitBndyFaults_LAO_Faulted boundary,0.06012,0.0001051981533469473
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,0.05644,0.0002745728345158043
MetamorphicFacies_Tabberabberan_Greenschist facies,0.05583,1.3053276992946351e-05
MetamorphicBoundaries_Unconformities,0.04469,5.078152052161558e-06
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_contrast,0.03821,5.7246198289425204e-05
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.0365,7.83539197945312e-06
IntrusionsBndys_FaultedBndys,0.03449,4.731079878473836e-06
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,0.03388,1.7046061815121116e-05
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_contrast,0.02789,2.69017747199968e-05
Gravmap2019-grid-dem_geoid_x_mean,0.02377,1.2147858662808165e-05
IntrusionsBndys_IntrusiveBndys,0.02353,5.3708929834751684e-05
Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_median,0.01666,9.04205151066943e-06
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_contrast,0.0162,0.00020361030569611508
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_correlation,0.01462,0.0002626116591094028
MetamorphicBoundaries_Faults,0.01457,2.4195320865769963e-06
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_min,0.01425,5.945183757588187e-06
MetamorphicFacies_Tabberabberan_Subgreenschist facies,0.01292,1.9126394785351643e-05
MetamorphicBoundaries_MetamorphicBndys,0.01222,1.6822379034434964e-06
Gravmap2019-grid-dem_geoid_x_std,0.01183,6.888324977095284e-06
Magmap2019-grid-tmi_rtp_as-AWAGS_MAG_2019_correlation,0.01141,3.4877749089209057e-05
MetamorphicFacies_Benambran_Greenschist facies,0.01065,3.4345465143236554e-05
Magmap2019-grid-tmi_rtp_upcon-UC42km50kmRes-AWAGS_MAG_2019_energy,0.01056,7.3905000724416625e-06
Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_energy,0.0102,1.2574451098552753e-05
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_mean,0.00923,6.731520318676589e-05
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_min,0.00847,1.0421385887663128e-05
Gravmap2019-grid-dem_geoid_y_mean,0.00778,3.1370586662471674e-05
RockUnits_LAO_Null,0.00769,1.7176970085036825e-05
Magmap2019-grid-tmi_rtp_upcon-UC36km42kmRes-AWAGS_MAG_2019_energy,0.00729,6.999911402124555e-05
Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_homogeneity,0.00608,0.00026059387086476636
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_max,0.00605,3.301815160749648e-06
