Feature,Importance,Variance
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.12824,0.012625898665904089
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,0.05866,0.0345190765019169
Gravmap2019-grid-grv_cscba_tilt_max,0.05688,0.0007161559286487712
AlOH_Group_Composition_correlation,0.04629,0.003697595000363253
RockUnitBndyFaults_LAO_Faulted boundary,0.04491,0.0005958401067049749
MetamorphicFacies_Tabberabberan_Greenschist facies,0.04137,0.00033977927018369005
MetamorphicBoundaries_Unconformities,0.0388,0.0017847037918227427
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.02786,0.00010562693305847283
Radmap2019-grid-uth_ratio-AWAGS_RAD_2019_mean,0.02731,0.0001821453615801754
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,0.02537,0.0011376356528907065
IntrusionsBndys_FaultedBndys,0.02378,0.00028231460248817207
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_std,0.02293,0.001445484835903758
Ferrous_Iron_Index_correlation,0.02249,0.0006449194221237098
IntrusionsBndys_IntrusiveBndys,0.01917,0.0004204351350020721
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,0.01704,0.00023169682273965195
MetamorphicFacies_Tabberabberan_Subgreenschist facies,0.01595,0.008745224420097612
Gravmap2019-grid-grv_cscba_1vd_mean,0.01481,0.00010919802120946113
MgOH_Group_Composition_mean,0.01189,0.002776326363774384
Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_median,0.01175,0.00044099064331714054
Gravmap2016-grid-grv_cscba_mean,0.0117,0.00018228592405963742
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_contrast,0.01129,0.00018599021255554695
Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_std,0.01121,0.003465596768330371
MetamorphicBoundaries_MetamorphicBndys,0.01029,0.00029107143984122627
MetamorphicBoundaries_Faults,0.00997,0.0032537525852175155
MetamorphicFacies_Benambran_Greenschist facies,0.00917,0.0
Radmap2019-grid-uk_ratio-AWAGS_RAD_2019_contrast,0.00893,0.0008521454911457877
Ferric_Oxide_Composition_mean,0.00871,0.0
RockUnits_LAO_Monzonite,0.00824,2.5181608902143985e-05
Ferric_Oxide_Composition_max,0.00801,0.0
