Feature,Importance,Variance
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.13206,0.017679188591071288
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_std,0.06936,0.049678676679218874
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,0.06144,0.001723624352194495
RockUnitBndyFaults_LAO_Faulted boundary,0.05104,0.0041399978280509606
MetamorphicFacies_Tabberabberan_Greenschist facies,0.04334,0.01760765250630162
AlOH_Group_Composition_correlation,0.03986,0.0011158992824867333
MetamorphicBoundaries_Unconformities,0.03427,0.0003562890303860103
Gravmap2019-grid-grv_cscba_tilt_max,0.03209,0.002916391274269591
IntrusionsBndys_IntrusiveBndys,0.0291,0.00011416324298271447
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_energy,0.02832,0.00014789225702903412
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.02291,0.0007559480345528143
Ferric_Oxide_Composition_max,0.02224,0.00030776812419381
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,0.01904,0.0005665861708841398
Ferrous_Iron_Index_correlation,0.01896,0.0002586182872872661
Gravmap2019-grid-dem_geoid_x_mean,0.01837,0.0005414812014805778
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_contrast,0.01587,0.006152989119274618
Kaolin_Group_Index_max,0.01556,9.576559381204282e-05
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_contrast,0.01511,0.0012018305739354587
IntrusionsBndys_FaultedBndys,0.01451,0.0
Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_median,0.01341,0.00020630287268775963
Ferric_Oxide_Composition_contrast,0.01165,3.7708668492805465e-09
AlOH_Group_Composition_mean,0.00967,0.0
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_correlation,0.00923,0.0007998886088868082
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_min,0.00905,0.0001241021279609866
Gravmap2019-grid-grv_cscba_1vd_mean,0.00867,0.0
Gravmap2016-grid-grv_cscba_mean,0.00847,0.00026986878725609645
Opaque_Index_max,0.00829,0.0
MetamorphicFacies_Tabberabberan_Subgreenschist facies,0.0081,0.0010912929032282214
Ferric_Oxide_Composition_mean,0.00789,0.0005082500389352138
Gravmap2016-grid-grv_cscba_homogeneity,0.00785,0.0
MetamorphicBoundaries_Faults,0.00763,0.00392002474566039
MetamorphicBoundaries_MetamorphicBndys,0.00757,0.0005833020469518172
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_contrast,0.00714,0.0
AlOH_Group_Content_max,0.00644,7.87445189834937e-05
Ferric_Oxide_Content_std,0.00629,0.0
Gravmap2019-grid-grv_fa_contrast,0.00627,0.00016193843665803352
Gravmap2016-grid-grv_cscba_contrast,0.00568,0.0
Gravmap2019-grid-grv_cscba_1vd_contrast,0.00536,0.0
MetamorphicFacies_Benambran_Greenschist facies,0.00503,0.0003018470674671018
Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_std,0.00502,0.0
MetamorphicBoundaries_GeologicalBndys,0.00492,6.110439119014559e-08
Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_max,0.0049,0.0
Gravmap2019-grid-dem_geoid_y_mean,0.00456,0.0026679063873765473
Ferric_Oxide_Composition_std,0.0045,0.0
FeOH_Group_Content_max,0.00445,0.00028777233730528683
Opaque_Index_correlation,0.00439,0.0
Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_energy,0.00433,0.00025800602304278754
Gypsum_Index_correlation,0.00431,0.0
