Feature,Importance,Variance
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.12988,0.012673857402393681
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,0.06277,0.0342759533180602
Gravmap2019-grid-grv_cscba_tilt_max,0.05787,0.0009618590811544659
RockUnitBndyFaults_LAO_Faulted boundary,0.05773,0.004100733804007084
AlOH_Group_Composition_correlation,0.04062,0.0011581872713870471
MetamorphicBoundaries_Unconformities,0.03501,0.00020016641361255468
MetamorphicFacies_Tabberabberan_Greenschist facies,0.03471,0.0024810362728942916
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.02983,5.81739436313106e-05
Radmap2019-grid-uth_ratio-AWAGS_RAD_2019_mean,0.02312,0.00013389805492562375
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,0.0224,0.001369829653492737
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,0.02175,0.00028038484573580203
IntrusionsBndys_FaultedBndys,0.0208,0.0008317617918404252
Ferrous_Iron_Index_correlation,0.01721,0.00043083439152863027
MetamorphicFacies_Tabberabberan_Subgreenschist facies,0.01694,0.0004866912035723353
IntrusionsBndys_IntrusiveBndys,0.01652,0.0003901288524191673
MetamorphicFacies_Benambran_Greenschist facies,0.01544,0.009198001761673203
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_std,0.01443,0.00011257291942817576
Gravmap2016-grid-grv_cscba_mean,0.01442,0.0019752046332677806
Gravmap2019-grid-grv_cscba_1vd_mean,0.01381,0.00046521104957354144
RockUnits_LAO_Monzonite,0.01261,0.00023831549483124852
Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_median,0.0126,0.0001167632919313836
Radmap2019-grid-uk_ratio-AWAGS_RAD_2019_contrast,0.01234,0.0016402691632781373
MgOH_Group_Composition_mean,0.01224,0.0001986757004888418
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_min,0.01135,0.003145798811259502
MetamorphicBoundaries_MetamorphicBndys,0.01126,0.0
Ferric_Oxide_Composition_max,0.0106,0.00033237827308804646
Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_std,0.00974,0.0
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_contrast,0.00953,3.237933999606923e-05
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_correlation,0.00935,0.0
Gravmap2019-grid-dem_geoid_x_mean,0.00928,0.0
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_std,0.00893,0.0009809816490486832
RockUnits_LAO_Andesite,0.00766,0.00034137561767228023
RockUnits_LAO_Null,0.0072,5.741364923851576e-33
Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_max,0.00679,0.0009807132085557873
Ferric_Oxide_Composition_mean,0.00679,0.00011765103782332079
Ferric_Oxide_Composition_std,0.00644,6.015189310751053e-05
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_contrast,0.0063,0.0
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_homogeneity,0.00623,0.0
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_correlation,0.00597,2.2509500852509882e-32
MetamorphicBoundaries_Faults,0.00562,1.587807144951427e-06
Gravmap2019-grid-grv_cscba_05vd-IncludesAirborne_min,0.0054,0.0
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_mean,0.00505,0.0
Gravmap2016-grid-grv_cscba_std,0.00501,0.0
Radmap2019-grid-u_conc-AWAGS_RAD_2019_contrast,0.00478,0.0
Opaque_Index_correlation,0.00478,0.00142312705544244
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_correlation,0.00475,0.0
Radmap2019-grid-u_conc-AWAGS_RAD_2019_min,0.00474,0.0
Radmap2019-grid-u_conc-AWAGS_RAD_2019_correlation,0.00473,0.0
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_min,0.00472,0.0
Magmap2019-grid-tmi_rtp_upcon-UC8km12kmRes-AWAGS_MAG_2019_contrast,0.00448,0.00011632089901008618
Silica_Index_correlation,0.00447,0.0
Magmap2019-grid-tmi_rtp_upcon-UC42km50kmRes-AWAGS_MAG_2019_energy,0.00445,0.0
Gypsum_Index_correlation,0.00439,0.0
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_mean,0.00432,0.0002722283236733535
Gravmap2019-grid-grv_fa_contrast,0.0043,0.0003434662353928281
Gravmap2019-grid-dem_geoid_y_mean,0.00405,1.0832044456050956e-05
Radmap2019-grid-k_conc-AWAGS_RAD_2019_contrast,0.00403,0.0009181581752385577
Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_homogeneity,0.00397,0.00048194023747178034
Radmap2019-grid-u2th_ratio-AWAGS_RAD_2019_correlation,0.00393,0.0003149087874807858
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_contrast,0.0037,0.00010619953006964796
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_max,0.00365,0.00017605311678990917
Gravmap2019-grid-grv_cscba_1vd_contrast,0.00365,0.0001246241430168143
Gravmap2019-grid-grv_fa_std,0.00351,5.1038870284307274e-05
Ferric_Oxide_Composition_correlation,0.00332,0.00011369268975258797
Silica_Index_contrast,0.0032,0.0002378840915459276
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_contrast,0.00315,0.0002471609410813277
Gravmap2016-grid-grv_cscba_contrast,0.00303,8.754397516681873e-05
Opaque_Index_mean,0.00295,0.00011774865691675645
Gravmap2016-grid-grv_cscba_homogeneity,0.00294,0.00021032080503122647
Ferric_Oxide_Content_std,0.0029,8.94022333540554e-05
