IntrusionsBndys_FaultedBndys,IntrusionsBndys_GeologicalBndys,IntrusionsBndys_IntrusiveBndys,IntrusionsBndys_UnconformableBndys,MetamorphicBoundaries_Faults,MetamorphicBoundaries_GeologicalBndys,MetamorphicBoundaries_MetamorphicBndys,MetamorphicBoundaries_Unconformities,RockUnitBndyFaults_LAO_Faulted boundary,RockUnitBndyFaults_LAO_Geological boundary,RockUnitBndyFaults_LAO_Intrusive boundary,RockUnitBndyFaults_LAO_Unconformable boundary,MetamorphicIsograds,vs_cluster_boundaries
30347.67523206732,5235.487225680764,605003.0277090432,433347.07764281915,41857.56831390287,40927.70582261265,11340.774164073528,378669.9085536747,147018.50540796475,191991.5163028289,475973.7066096176,350256.30181638506,3678.768992042369,19268.27411914577
2414.213176068096,158.80684094585322,210662.93235354315,67458.72278847014,1447.7390704069583,158.80684094585322,9954.997774304224,14492.009381679356,1447.7390704069583,158.80684094585322,210662.93235354315,3700.0195449461226,2167.131794493927,13603.96850166386
74391.03138372113,58145.44380032135,387061.37760834256,219658.95576487313,27823.964375675678,85347.69855997889,66602.99100994281,167945.5902987363,27823.964375675678,15301.643038522177,313115.160334446,133570.65848353787,56174.76641386046,41417.45155057773
78690.70856454423,36700.467017381685,124479.66484920972,274363.41034397314,72554.1514893197,94370.181658234,18947.063978872127,206851.11806988332,5630.29332226056,15116.475139466222,124479.66484920972,206851.11806988332,35700.89074587657,270107.83721208
82355.57099213763,17920.271708483095,556929.3262874356,306425.36394063063,45657.789558320386,201666.06611486434,45657.789558320386,416139.12699372094,45657.789558320386,46.55283496252183,312118.9157515551,306425.36394063063,15929.796099988574,32680.035725664846
12102.414648081245,9080.21409955857,82291.22304795156,553285.7507339355,1567.1452408510065,5016.054613691482,15359.417225193907,59697.71269870616,124762.82880392797,114183.98581011737,336249.58772623906,553285.7507339355,86231.92195668614,523611.39709168934
64814.36103590544,14100.38132265847,94229.31166230491,226949.98534187203,100562.02358198537,141320.2247796763,99829.14140376108,163399.7176170522,8215.26698429406,14100.38132265847,94229.31166230491,162956.01659746293,14538.030339307537,239844.320222992
32120.24354380138,1204.2521705834924,30822.0213227719,278697.5255859858,74417.39204061497,73471.02077024168,142704.5145713742,161610.56044484285,21201.66096711896,1204.2521705834924,30822.0213227719,161073.90981705388,1937.9222570689947,289276.31063617347
15204.252277819085,3780.807076009807,701368.9253098536,552436.7675762521,36072.2083223733,84533.72739433566,27795.656715250814,463022.9806057117,241338.18967887422,291982.9665099783,586278.7515851888,444416.27118670964,7501.673416088779,27984.115360913358
20628.430033390712,2617.6807999186803,64027.39217633392,171525.45429744283,17176.519308456904,97692.47589615466,34365.76292862396,91508.36461535371,14479.561616211076,2617.6807999186803,64027.39217633392,91290.40400169679,7502.364397052667,176264.3048490986
54059.79601798688,52980.74979456254,54059.79601798688,408756.5477538371,26704.79040415575,53045.54733249069,51072.80031096581,250011.94563841267,1593.6340832502028,338.939819816161,54059.79601798688,355334.8497886211,50806.4080725662,427186.41662360297
4368.766643261181,526.3767799541562,159283.35844117554,3391.1677183808897,42311.09900518189,42356.244301496976,16648.027772193996,53834.19767728252,1411.891916780676,472.5922659241862,154964.07603895225,3022.8493794372416,2394.2571289877637,8563.54149087512
