Feature,Importance,Variance
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_std,0.11044,0.00016294204034858988
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.07793,0.0029433762919179973
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_dissimilarity,0.05551,2.659643573304322e-05
MetamorphicFacies_Benambran_Greenschist facies,0.04294,5.7209197493019795e-05
MetamorphicFacies_Tabberabberan_Greenschist facies,0.0372,0.0006997279282867589
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.03507,0.0006963367516050112
MetamorphicBoundaries_Unconformities,0.03354,0.003942321527885076
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,0.03054,3.085976996781742e-06
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_correlation,0.02876,0.0010753435345126853
Radmap2019-grid-u2th_ratio-AWAGS_RAD_2019_mean,0.02834,0.00035812064046600734
IntrusionsBndys_FaultedBndys,0.02753,4.836055137064138e-05
Gravmap2019-grid-grv_cscba_tilt_std,0.02161,0.00022468524126964968
Radmap2019-grid-u2th_ratio-AWAGS_RAD_2019_dissimilarity,0.01872,2.2145006390974788e-05
Magmap2019-grid-tmi_rtp_as-AWAGS_MAG_2019_correlation,0.01846,3.817606781037576e-05
AlOH_Group_Composition_mean,0.01755,2.7742880761471385e-05
Gravmap2019-grid-dem_ellips_dx,0.01751,5.946121316876315e-06
MetamorphicBoundaries_MetamorphicBndys,0.01665,4.2147080377097456e-05
Gravmap2019-grid-ausdrape_ellips_dy,0.01431,2.7170755740508188e-05
IntrusionsBndys_IntrusiveBndys,0.01431,1.2135675633072699e-05
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,0.01339,4.813017201673118e-05
IntrusionsBndys_GeologicalBndys,0.01296,2.006158093386298e-05
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,0.01284,0.0005109765938609746
MgOH_Group_Composition_mean,0.01257,6.343376460751286e-05
MetamorphicFacies_Benambran_Subgreenschist facies,0.01162,2.0945815556705086e-05
