Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
1.9626957,4.580405,1.9352158,4.6094217,-1.8980296,1.5668904,-1.9255096,1.5959076
1.9775476,4.573528,1.9497669,4.603248,-2.1774511,1.5508084,-2.2052321,1.5805293
4.5547614,2.0737157,4.5311036,2.0987656,0.040438946,2.025586,0.016781753,2.0506353
4.6255684,1.9124442,4.601637,1.9383202,0.50378275,0.9507654,0.47985,0.97664094
4.807917,1.4207702,4.7815824,1.4475546,1.434771,-1.1799734,1.408435,-1.153189
-0.08323398,4.986071,-0.10266453,4.9957447,8.509906,-0.3902677,8.490474,-0.38059536
4.5737987,2.0517664,4.5447984,2.077367,0.5417713,1.7939099,0.5127713,1.81951
1.9549333,4.5830874,1.9275608,4.61239,-2.0751255,1.2615852,-2.1024973,1.2908887
-0.13356808,4.983768,-0.15292837,4.993394,9.168467,-0.77302337,9.149104,-0.7633978
2.484165,4.3221483,2.456238,4.3379354,-0.33168948,2.3102305,-0.35961607,2.3260179
2.915754,4.0457077,2.887095,4.0627375,-1.0118009,4.197662,-1.0404601,4.2146916
2.4251873,4.3560505,2.3974223,4.3714914,-0.3165994,-0.21402977,-0.34436488,-0.19859019
3.3233445,3.7182086,3.2936602,3.7372231,-0.17335118,8.241265,-0.20303422,8.260282
1.8374325,4.541549,1.8150553,4.5536366,-7.1089373,6.3241878,-7.131314,6.336275
1.4275991,4.7698727,1.4059544,4.7976475,0.016949115,0.35239774,-0.004695943,0.38017252
1.5681252,4.7331314,1.5382029,4.757031,-1.0134691,0.84279484,-1.0433911,0.8666942
1.5388293,4.735257,1.5094551,4.7595034,-1.5130619,0.7558853,-1.5424358,0.7801317
1.6100523,4.7148695,1.5851368,4.7418966,-2.0572178,0.15999085,-2.082134,0.18701775
1.684299,4.689247,1.6589184,4.7164187,-1.911439,0.050188527,-1.9368204,0.07736022
1.9591118,4.5811157,1.9313385,4.610948,-0.0008323123,1.7391312,-0.028605413,1.7689652
0.357842,-4.1491175,0.32577053,-4.1242914,14.322265,-20.12019,14.290192,-20.095364
0.357842,-4.1491175,0.32577053,-4.1242914,14.322265,-20.12019,14.290192,-20.095364
0.3435334,-4.3329716,0.31130245,-4.3078556,14.2606125,-22.753101,14.228381,-22.727987
-0.1271181,-0.61192566,-0.124931514,-0.59257704,7.397116,-12.406566,7.399304,-12.387217
-0.42378554,-4.1436315,-0.45550844,-4.1191297,10.353664,-21.015457,10.321941,-20.99096
-0.40344253,-4.3265414,-0.43533027,-4.3017488,11.625298,-21.859634,11.5934105,-21.834839
-0.033990916,-3.892625,-0.065727256,-3.8682492,13.339895,-17.648499,13.308159,-17.624125
0.7436611,-4.1288424,0.71141446,-4.103859,14.24699,-21.01413,14.214742,-20.989147
0.7436611,-4.1288424,0.71141446,-4.103859,14.24699,-21.01413,14.214742,-20.989147
-0.031547245,-4.153254,-0.06344564,-4.1285896,12.445104,-20.634333,12.413205,-20.609667
-0.031547245,-4.153254,-0.06344564,-4.1285896,12.445104,-20.634333,12.413205,-20.609667
-0.40344253,-4.3265414,-0.43533027,-4.3017488,11.625298,-21.859634,11.5934105,-21.834839
1.8241061,4.5515413,1.7958922,4.569915,2.9633863,3.378503,2.9351726,3.3968768
1.7707411,4.578526,1.742661,4.5967455,2.4820242,3.4659984,2.4539442,3.484218
1.8241061,4.5515413,1.7958922,4.569915,2.9633863,3.378503,2.9351726,3.3968768
1.9113281,4.524967,1.8830599,4.5433197,1.8293163,2.8520365,1.8010476,2.8703904
-2.6863797,-3.9113743,-2.7172554,-3.887232,8.135842,-12.044168,8.104966,-12.020026
-2.3820283,-4.118451,-2.4132552,-4.0938115,8.720494,-13.119739,8.689267,-13.0950985
-1.447234,-4.4828234,-1.4791191,-4.4574785,12.253205,-14.127199,12.221318,-14.101855
-1.3108298,-4.4048667,-1.3425407,-4.379973,12.374172,-16.500439,12.34246,-16.475544
-1.6059113,-4.326253,-1.6374539,-4.30153,11.268568,-15.229405,11.237025,-15.204684
-1.9816262,-4.126599,-2.0128253,-4.102353,8.779429,-14.742221,8.74823,-14.717977
1.9113281,4.524967,1.8830599,4.5433197,1.8293163,2.8520365,1.8010476,2.8703904
1.9113281,4.524967,1.8830599,4.5433197,1.8293163,2.8520365,1.8010476,2.8703904
1.9113281,4.524967,1.8830599,4.5433197,1.8293163,2.8520365,1.8010476,2.8703904
1.9113281,4.524967,1.8830599,4.5433197,1.8293163,2.8520365,1.8010476,2.8703904
1.9907517,4.4979634,1.9624335,4.5163,0.26642916,1.9827284,0.2381085,2.0010655
1.8241061,4.5515413,1.7958922,4.569915,2.9633863,3.378503,2.9351726,3.3968768
-0.40344253,-4.3265414,-0.43533027,-4.3017488,11.625298,-21.859634,11.5934105,-21.834839
-0.42378554,-4.1436315,-0.45550844,-4.1191297,10.353664,-21.015457,10.321941,-20.99096
4.548328,-1.7321575,4.5135107,-1.7055209,14.691186,-3.2570794,14.656366,-3.2304432
4.614997,-1.5276151,4.580298,-1.5012121,14.397903,-2.949224,14.363204,-2.922821
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.397949,-2.114674,4.3629036,-2.0875623,14.275511,-4.9529357,14.240466,-4.925825
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
-0.7652876,-4.295396,-0.7970032,-4.2707686,11.010985,-20.320745,10.979269,-20.296116
4.548328,-1.7321575,4.5135107,-1.7055209,14.691186,-3.2570794,14.656366,-3.2304432
4.4760957,-1.9289361,4.441162,-1.9020609,14.41456,-3.9995959,14.379627,-3.972722
4.5013185,-1.803721,4.466649,-1.7772017,15.784664,-3.662678,15.749992,-3.636159
4.5013185,-1.803721,4.466649,-1.7772017,15.784664,-3.662678,15.749992,-3.636159
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.3654714,-2.0897448,4.330832,-2.0631025,14.888452,-5.8283644,14.853812,-5.801724
4.3405094,-2.1965623,4.3056073,-2.1695619,13.955894,-5.650233,13.920992,-5.623233
4.3405094,-2.1965623,4.3056073,-2.1695619,13.955894,-5.650233,13.920992,-5.623233
4.397949,-2.114674,4.3629036,-2.0875623,14.275511,-4.9529357,14.240466,-4.925825
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.548328,-1.7321575,4.5135107,-1.7055209,14.691186,-3.2570794,14.656366,-3.2304432
4.397949,-2.114674,4.3629036,-2.0875623,14.275511,-4.9529357,14.240466,-4.925825
4.5013185,-1.803721,4.466649,-1.7772017,15.784664,-3.662678,15.749992,-3.636159
4.614997,-1.5276151,4.580298,-1.5012121,14.397903,-2.949224,14.363204,-2.922821
4.4760957,-1.9289361,4.441162,-1.9020609,14.41456,-3.9995959,14.379627,-3.972722
4.4238825,-2.006289,4.389096,-1.9795289,15.054209,-4.8564177,15.019423,-4.829658
4.4760957,-1.9289361,4.441162,-1.9020609,14.41456,-3.9995959,14.379627,-3.972722
-2.3799825,-4.0248604,-2.4110184,-4.0006657,7.8492627,-12.821814,7.8182273,-12.797619
-2.3820283,-4.118451,-2.4132552,-4.0938115,8.720494,-13.119739,8.689267,-13.0950985
-2.3820283,-4.118451,-2.4132552,-4.0938115,8.720494,-13.119739,8.689267,-13.0950985
-2.5770497,-4.013068,-2.60811,-3.9886124,9.071614,-12.165875,9.040554,-12.141419
-2.2722485,-4.1299424,-2.3034635,-4.105437,8.640812,-13.071698,8.609596,-13.047193
-1.944797,-4.3152895,-1.9763571,-4.2902927,9.761433,-14.093724,9.729875,-14.0687275
-2.0404372,-4.2325273,-2.0718198,-4.2078433,9.236621,-13.934671,9.205238,-13.9099865
-1.7892909,-4.326903,-1.820839,-4.302043,10.422162,-14.346561,10.390614,-14.321702
-1.6059113,-4.326253,-1.6374539,-4.30153,11.268568,-15.229405,11.237025,-15.204684
-1.6059113,-4.326253,-1.6374539,-4.30153,11.268568,-15.229405,11.237025,-15.204684
-1.9816262,-4.126599,-2.0128253,-4.102353,8.779429,-14.742221,8.74823,-14.717977
-1.9816262,-4.126599,-2.0128253,-4.102353,8.779429,-14.742221,8.74823,-14.717977
-0.72380376,-4.4237247,-0.7556847,-4.398798,12.368713,-20.318035,12.336832,-20.293108
-0.19765417,-4.8962,-0.23149987,-4.867285,12.566591,-4.409872,12.532744,-4.3809566
-0.19765417,-4.8962,-0.23149987,-4.867285,12.566591,-4.409872,12.532744,-4.3809566
-0.41047275,-4.86984,-0.4440578,-4.841392,13.309524,-7.0047016,13.27594,-6.9762554
-2.3764164,-4.183208,-2.4078434,-4.1581006,10.479714,-11.809591,10.448288,-11.784483
-3.249241,-3.4702394,-3.2796776,-3.4461317,6.324387,-6.076899,6.2939506,-6.0527906
-1.2508816,-4.637074,-1.2832721,-4.6107583,10.75773,-12.969586,10.72534,-12.943272
-1.5465803,-4.5252137,-1.5786486,-4.499398,10.343906,-14.085323,10.311838,-14.059505
-1.5465803,-4.5252137,-1.5786486,-4.499398,10.343906,-14.085323,10.311838,-14.059505
-1.621757,-4.4694767,-1.6536531,-4.4439855,10.455636,-14.468178,10.423741,-14.442684
-2.1702468,-4.219248,-2.2016418,-4.1944294,9.324908,-13.645585,9.293512,-13.620766
-1.9858493,-4.3655887,-2.0175996,-4.3401203,10.44065,-13.175695,10.408898,-13.150225
-2.1879406,-4.2768793,-2.2195292,-4.2515893,10.534198,-12.332425,10.502608,-12.307133
-2.3764164,-4.183208,-2.4078434,-4.1581006,10.479714,-11.809591,10.448288,-11.784483
4.251836,2.0333755,4.238423,2.061428,7.608063,6.1438007,7.5946503,6.171855
-1.944797,-4.3152895,-1.9763571,-4.2902927,9.761433,-14.093724,9.729875,-14.0687275
-1.621757,-4.4694767,-1.6536531,-4.4439855,10.455636,-14.468178,10.423741,-14.442684
-1.7019494,-4.40329,-1.7336732,-4.378119,10.54549,-14.3826885,10.513766,-14.357515
-1.0132816,-4.6904078,-1.0458256,-4.663928,11.857041,-12.191243,11.824498,-12.164764
-1.944797,-4.3152895,-1.9763571,-4.2902927,9.761433,-14.093724,9.729875,-14.0687275
-2.1702468,-4.219248,-2.2016418,-4.1944294,9.324908,-13.645585,9.293512,-13.620766
-2.8698575,-3.799111,-2.9005604,-3.7751534,8.350464,-10.782405,8.31976,-10.758448
1.5404689,4.748649,1.5040717,4.7646008,3.4882336,0.78494775,3.4518356,0.8008983
1.8463792,4.63371,1.8096805,4.657729,-4.2243633,-0.044912323,-4.2610626,-0.020894017
0.36794516,-3.889637,0.3360332,-3.8650994,13.880816,-17.736843,13.848902,-17.712307
-0.72380376,-4.4237247,-0.7556847,-4.398798,12.368713,-20.318035,12.336832,-20.293108
-0.031547245,-4.153254,-0.06344564,-4.1285896,12.445104,-20.634333,12.413205,-20.609667
4.586382,2.0237224,4.5572953,2.0493805,0.8305737,1.512203,0.80148774,1.5378612
4.7380104,1.6375895,4.711078,1.6638212,2.1959615,-0.84520894,2.16903,-0.8189777
4.7863197,1.4907861,4.75994,1.5174109,1.5702902,-1.6337317,1.5439104,-1.6071075
