Feature,Importance,Variance
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.2512,0.001014685262464089
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_std,0.21753,0.0010521750368268972
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_dissimilarity,0.0784,0.0007463979718401372
MetamorphicFacies_Benambran_Greenschist facies,0.0775,0.0014183044342935096
MetamorphicBoundaries_Unconformities,0.06814,0.00011462386340389366
IntrusionsBndys_FaultedBndys,0.06134,0.0001182783893057555
MetamorphicFacies_Tabberabberan_Greenschist facies,0.05327,0.0004695042563832625
Radmap2019-grid-u2th_ratio-AWAGS_RAD_2019_mean,0.04835,8.934143764920256e-05
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_correlation,0.038,0.00037589870538618566
Gravmap2019-grid-grv_cscba_tilt_std,0.0371,0.0001863029692062779
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,0.03639,0.0009533865679167579
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.03278,0.00041640447375571553
