MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,Intrusions_Tabberabberan,RockUnits_LAO
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Igneous rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Igneous rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Granite,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Igneous rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Null,Subgreenschist facies,Null,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Conglomerate
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Null,Subgreenschist facies,Null,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Igneous rock,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Null,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Granite,Null
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic breccia
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siliciclastic sedimentary rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Null,Null,Null
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Null,Subgreenschist facies,Null,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Null
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sedimentary rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
