Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
-3.9301035,-3.0470023,-3.9136715,-3.009257,-16.127584,3.8425767,-16.111155,3.8803232
4.148024,2.7962506,4.131578,2.8165288,0.24959081,0.64801824,0.23314501,0.6682963
-1.6002569,-1.5086285,-1.5984112,-1.4715463,1.780441,-3.6889343,1.7822864,-3.6518528
0.9936978,4.8776445,0.964122,4.9041896,-0.63261354,1.958044,-0.66218966,1.98459
0.3541774,2.5051258,0.33225557,2.5301557,-0.41069844,0.93204504,-0.4326205,0.9570748
0.3963284,-0.2535807,0.38271543,-0.23775493,0.4036131,-0.19465409,0.39000028,-0.17882822
-2.9312246,3.8523862,-2.9315712,3.8799417,-1.7330829,1.6683356,-1.7334296,1.6958911
0.20170513,-0.14799403,0.18034323,-0.13043116,0.13909823,-0.14634158,0.11773651,-0.12877868
0.89432853,0.65290964,0.86857617,0.6665417,0.9186429,0.71002394,0.8928906,0.72365594
2.487101,4.3280387,2.46118,4.351608,4.8650503,-0.34434965,4.8391294,-0.32078025
4.39659,0.5647748,4.3894057,0.57602197,1.1005968,1.4361473,1.0934119,1.4473945
-4.0274463,2.9348922,-4.0203834,2.965476,-3.8586707,-2.2798975,-3.8516088,-2.249313
3.6640773,3.3945591,3.63527,3.4141123,-3.0862055,1.7174217,-3.1150122,1.7369767
0.26522446,4.1105456,0.23960216,4.11038,2.9975705,2.5940726,2.9719489,2.5939066
-1.3338969,-0.1803535,-1.3479525,-0.16078202,-1.418986,-0.011681493,-1.4330413,0.007889857
4.3891096,-0.2655,4.3768106,-0.25116304,0.31665608,0.45057964,0.30435693,0.46491686
0.14599209,-0.35148913,0.13358735,-0.30520877,0.055178616,-0.33338526,0.042773522,-0.28710487
1.6811193,2.4210474,1.6531652,2.435878,7.0995836,4.3167586,7.0716295,4.3315887
-3.7280674,1.3920239,-3.724978,1.4274919,-0.11860831,0.1422556,-0.11551875,0.17772336
-0.5026653,-0.4759996,-0.5176894,-0.45654413,-0.3871095,-0.48071817,-0.4021336,-0.46126243
-0.9616865,0.42667967,-0.9780298,0.4430671,-0.06614347,0.8339426,-0.08248684,0.85033053
0.056832798,-0.1294233,0.038460284,-0.11502856,0.3051082,-0.077720866,0.28673568,-0.06332606
-1.5954812,4.7000384,-1.6236069,4.7149415,4.970103,-0.63853383,4.9419765,-0.6236297
-0.45619777,-2.7354617,-0.48000622,-2.7147114,1.3650233,0.36550888,1.3412149,0.38625917
0.8209464,4.9092536,0.7992936,4.932234,0.66036177,0.20903948,0.6387079,0.23201996
-2.746949,-4.200782,-2.722592,-4.1675687,-5.3110003,-3.100219,-5.2866445,-3.0670052
4.9658217,0.6457963,4.9483285,0.6735109,0.4718813,0.18268064,0.4543879,0.21039435
0.36636674,-5.0231915,0.37120205,-4.987747,-3.328191,-3.1168396,-3.323356,-3.0813951
2.8192952,4.1191754,2.7978847,4.1405387,0.60751927,0.30196136,0.5861095,0.3233251
-3.431955,-3.6671054,-3.4130595,-3.6289177,-9.195584,10.051686,-9.176686,10.089876
-4.1966286,-2.7625182,-4.191316,-2.7093713,-11.896425,0.08767632,-11.891112,0.14082457
-0.09963076,-0.34583965,-0.11744862,-0.3322363,-0.13185008,-0.37818107,-0.14966796,-0.36457756
0.45197934,-0.123812,0.4298497,-0.11468554,0.30679166,-0.31368974,0.28466213,-0.30456322
-1.8270484,-2.3101027,-1.8220469,-2.290793,-16.860098,-7.9265304,-16.855095,-7.90722
-2.6500509,-4.2581573,-2.6543446,-4.221689,-0.077702776,-3.4853387,-0.081996925,-3.4488716
-3.7031748,-3.4050856,-3.6831696,-3.365717,-15.640542,1.9760004,-15.620538,2.0153682
-4.058229,-2.9204326,-4.0619383,-2.883711,4.4856625,-7.0920405,4.4819546,-7.0553184
1.4939637,4.705912,1.4716891,4.700125,-3.757731,10.984129,-3.7800066,10.978342
-0.3771756,0.21034212,-0.38685137,0.24856037,-0.5866406,0.5226461,-0.59631664,0.56086445
0.029579546,0.35971105,0.019892806,0.3774906,0.044516686,0.31958944,0.034829702,0.33736894
1.3192427,4.80367,1.2966464,4.827988,1.0918956,0.14346431,1.0692985,0.16778308
-2.0159812,1.8801739,-2.0237627,1.8907472,-1.5521246,1.2784748,-1.5599061,1.2890486
4.7900887,-0.62081057,4.7798777,-0.6016873,12.512291,-9.654943,12.502081,-9.635819
4.5836554,2.0234094,4.5572305,2.0486507,0.2836973,0.15319791,0.25727206,0.17843895
-3.3418655,3.6405425,-3.3595104,3.644203,10.040031,4.552205,10.0223875,4.5558662
0.62352043,0.24390134,0.624263,0.27909195,0.52588993,0.18638474,0.5266326,0.22157538
0.24818295,4.9782276,0.22625141,4.995123,1.2405372,0.8583535,1.218606,0.87524825
-4.014202,-0.60859567,-3.9818656,-0.5575173,-9.700501,-27.21731,-9.668166,-27.166237
-0.089259826,-4.9868736,-0.08775451,-4.9442883,-0.8761137,-1.6448241,-0.87460846,-1.6022389
-3.7711637,-3.292864,-3.7667623,-3.2600145,-1.0265201,-6.210748,-1.0221184,-6.177899
-0.11704628,-1.531263,-0.13889882,-1.5049818,0.16322577,-0.69089645,0.14137357,-0.66461515
0.07822101,-0.46069416,0.06091357,-0.43816525,0.10769884,-0.4313453,0.09039155,-0.40881667
-2.685132,-3.0313776,-2.6806743,-2.9869428,-0.01943656,-0.7826278,-0.014978768,-0.73819304
4.8398414,1.0063227,4.813283,1.0373819,10.64286,-3.3754103,10.616301,-3.344351
-0.11384238,-1.720029,-0.13203718,-1.6846373,-0.56948453,-3.0819633,-0.5876795,-3.0465715
-4.2748713,-1.6448246,-4.257293,-1.625381,-6.688652,-10.0759,-6.6710725,-10.056456
0.29554147,0.007864065,0.27693698,0.024707906,0.2620362,0.06847857,0.24343176,0.08532225
0.11507851,-0.23512636,0.09978358,-0.20316981,0.11661343,-0.22375837,0.10131819,-0.19180189
4.8999915,0.2734052,4.8991733,0.29580995,0.23401669,0.049627148,0.23319775,0.072031684
4.259493,2.6091835,4.246265,2.634331,0.20840645,0.42404774,0.19517821,0.44919536
3.7616081,1.1046922,3.7374375,1.1226627,0.6874264,-0.5853535,0.66325545,-0.56738335
2.7000008,4.202297,2.671606,4.2186093,0.7075723,0.23671512,0.67917794,0.25302917
0.08186187,0.12359656,0.061190862,0.14338651,0.058716185,0.11042316,0.03804518,0.13021295
1.1408743,-0.0010711508,1.1142755,0.009681277,1.1254387,0.0075202454,1.09884,0.018272663
-2.7963135,4.066988,-2.818399,4.0866346,-16.82524,-2.6457067,-16.847324,-2.6260593
4.606358,0.7802676,4.5761228,0.79709035,2.5125391,1.3148102,2.4823036,1.3316327
-0.083307035,0.3663354,-0.08975301,0.38486698,-0.031064628,0.317408,-0.03751086,0.33593982
-4.81221,1.3933027,-4.7760596,1.4346398,-13.778858,-6.392399,-13.742709,-6.3510623
4.066065,2.8450718,4.053608,2.86963,0.09602095,0.16944653,0.083563596,0.19400534
3.3160977,3.7351093,3.2880893,3.752406,-8.242879,-0.40722883,-8.270887,-0.38993293
4.3044486,-0.9539808,4.2843633,-0.9368911,-6.330538,7.3034825,-6.3506236,7.3205724
3.842421,3.1988866,3.8230188,3.221081,0.38219413,0.09026859,0.3627923,0.11246286
4.6713967,1.8184526,4.6434484,1.8443192,1.3713009,-1.8128694,1.343353,-1.7870026
3.301867,3.763113,3.257104,3.7834797,4.226377,0.10399452,4.181614,0.12436116
2.2301285,0.9918991,2.2166142,1.0230831,2.6547189,1.4793354,2.6412048,1.5105191
3.045482,3.7473016,3.0273547,3.756468,18.637138,-4.0468,18.619009,-4.0376353
2.2722528,4.460507,2.218993,4.4754033,8.343987,6.58521,8.290729,6.6001062
4.155643,-0.9166483,4.1256285,-0.88462824,2.5810833,1.4496058,2.5510685,1.481626
4.459213,2.2439811,4.455051,2.2690396,0.17923763,-0.19243932,0.17507558,-0.1673808
-4.9027414,0.32234612,-4.895039,0.35580692,-2.0568788,-1.5004711,-2.0491765,-1.4670099
-0.3125961,1.2909619,-0.31100777,1.3296758,-0.6909537,-0.31938806,-0.6893654,-0.2806738
4.6779547,-1.8060433,4.6549873,-1.7903522,1.3045266,0.13222831,1.2815589,0.14791963
0.38385203,4.9587693,0.3563448,4.988857,-6.2444386,3.8608408,-6.2719455,3.890928
