MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,Intrusions_Tabberabberan,RockUnits_LAO
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Subgreenschist facies,Greenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzodiorite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzodiorite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Subgreenschist facies,Null,Null,Null
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
